id,scholar_no,att_date,status,student_class,section,marked_at
1,1414,2026-03-13,Present,1st,B,"2026-03-13 20:26:32"
2,1405,2026-03-13,Present,1st,A,"2026-03-13 20:27:49"
3,1405,2026-03-15,Absent,1st,A,"2026-03-15 15:40:41"
4,C401,2026-03-22,Present,4th,A,"2026-03-22 16:56:39"
5,C402,2026-03-22,Present,4th,A,"2026-03-22 16:56:39"
6,C403,2026-03-22,Absent,4th,A,"2026-03-22 16:56:39"
7,C404,2026-03-22,Present,4th,A,"2026-03-22 16:56:39"
8,C405,2026-03-22,Leave,4th,A,"2026-03-22 16:56:39"
9,C201,2026-03-22,Leave,2nd,A,"2026-03-22 16:58:41"
10,C202,2026-03-22,Absent,2nd,A,"2026-03-22 16:58:41"
11,C203,2026-03-22,Absent,2nd,A,"2026-03-22 16:58:41"
12,C204,2026-03-22,Absent,2nd,A,"2026-03-22 16:58:41"
13,C205,2026-03-22,Leave,2nd,A,"2026-03-22 16:58:41"
